invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I168325,C103857,Clothing,4,1200.32,28-08-2022,Metropol AVM
I564997,C103860,Cosmetics,3,121.98,23-06-2021,Metropol AVM
I337015,C103863,Shoes,5,3000.85,23-02-2021,Metrocity
I273250,C103864,Cosmetics,2,81.32,07-05-2021,Metrocity
I217132,C103869,Shoes,4,2400.68,03-12-2021,Istinye Park
I136327,C103871,Clothing,2,600.16,06-03-2022,Istinye Park
I634033,C103872,Clothing,4,1200.32,13-07-2022,Istinye Park
I328808,C103875,Cosmetics,1,40.66,07-08-2021,Istinye Park
I116064,C103877,Shoes,3,1800.51,28-02-2021,Metropol AVM
I108946,C103880,Clothing,4,1200.32,22-06-2021,Kanyon
I317982,C103886,Clothing,5,1500.4,12-01-2022,Mall of Istanbul
I332205,C103887,Cosmetics,3,121.98,08-02-2023,Mall of Istanbul
I170362,C103888,Clothing,4,1200.32,03-10-2022,Mall of Istanbul
I623350,C103894,Cosmetics,5,203.3,23-02-2023,Kanyon
I193600,C103896,Clothing,4,1200.32,10-09-2021,Istinye Park
I116547,C103897,Cosmetics,4,162.64,23-05-2022,Metrocity
I855914,C103899,Clothing,1,300.08,11-04-2022,Emaar Square Mall
I687615,C103900,Cosmetics,3,121.98,15-02-2023,Mall of Istanbul
I322001,C103903,Cosmetics,4,162.64,02-12-2021,Kanyon
I806871,C103904,Cosmetics,3,121.98,27-08-2022,Zorlu Center
I754930,C103909,Clothing,3,900.24,31-12-2022,Emaar Square Mall
I340210,C103910,Shoes,4,2400.68,27-02-2023,Mall of Istanbul
I932668,C103913,Cosmetics,5,203.3,03-08-2022,Viaport Outlet
I231142,C103915,Clothing,2,600.16,19-03-2022,Metropol AVM
I449982,C103917,Shoes,5,3000.85,07-02-2023,Metropol AVM
I114933,C103930,Clothing,2,600.16,19-04-2021,Mall of Istanbul
I134174,C103933,Technology,3,3150,10-01-2023,Kanyon
I297383,C103939,Clothing,1,300.08,10-09-2021,Kanyon
I130799,C103944,Clothing,3,900.24,30-06-2021,Metrocity
I177678,C103949,Clothing,3,900.24,08-09-2022,Mall of Istanbul
I124642,C103951,Food & Beverage,5,26.15,05-12-2022,Kanyon
I128980,C103952,Clothing,4,1200.32,21-01-2022,Istinye Park
I154000,C103959,Clothing,3,900.24,10-07-2022,Metrocity
I201996,C103962,Food & Beverage,1,5.23,29-03-2021,Kanyon
I636207,C103964,Clothing,5,1500.4,08-05-2022,Metrocity
I198329,C103965,Clothing,4,1200.32,19-10-2021,Istinye Park
I140910,C103966,Technology,1,1050,24-01-2021,Metrocity
I329757,C103969,Clothing,4,1200.32,04-02-2021,Istinye Park
I291582,C103972,Food & Beverage,5,26.15,23-10-2021,Metropol AVM
I136261,C103976,Books,5,75.75,12-09-2021,Metropol AVM
I201973,C103977,Food & Beverage,3,15.69,02-10-2021,Cevahir AVM
I130537,C103980,Clothing,2,600.16,27-02-2021,Metropol AVM
I160229,C103982,Clothing,3,900.24,05-12-2022,Istinye Park
I157186,C103985,Shoes,4,2400.68,06-03-2022,Istinye Park
I336355,C103992,Souvenir,2,23.46,23-06-2021,Emaar Square Mall
I693675,C103995,Food & Beverage,1,5.23,25-10-2021,Cevahir AVM
I169425,C103996,Cosmetics,5,203.3,02-11-2022,Metrocity
I244744,C103998,Toys,4,143.36,13-05-2022,Istinye Park
I109210,C104002,Souvenir,5,58.65,22-08-2021,Metropol AVM
I327575,C104008,Shoes,4,2400.68,02-12-2021,Kanyon
I808486,C104011,Food & Beverage,4,20.92,31-01-2022,Metropol AVM
I265440,C104013,Souvenir,4,46.92,02-01-2023,Metrocity
I220311,C104014,Clothing,3,900.24,03-10-2022,Kanyon
I120956,C104022,Clothing,1,300.08,12-12-2022,Kanyon
I687546,C104027,Food & Beverage,2,10.46,22-07-2022,Viaport Outlet
I117878,C104031,Clothing,4,1200.32,09-06-2022,Metrocity
I278358,C104032,Food & Beverage,4,20.92,30-12-2021,Metrocity
I136349,C104036,Clothing,4,1200.32,24-02-2023,Metrocity
I273266,C104039,Books,1,15.15,21-03-2022,Metrocity
I187041,C104041,Cosmetics,2,81.32,24-06-2022,Kanyon
I967877,C104048,Clothing,2,600.16,02-05-2021,Metropol AVM
I225713,C104049,Food & Beverage,2,10.46,28-02-2021,Kanyon
I203264,C104052,Clothing,1,300.08,10-10-2021,Mall of Istanbul
I184528,C104053,Cosmetics,3,121.98,20-04-2021,Kanyon
I302046,C104054,Food & Beverage,3,15.69,27-07-2022,Viaport Outlet
I248102,C104055,Cosmetics,5,203.3,22-09-2022,Metrocity
I153428,C104057,Food & Beverage,3,15.69,05-03-2022,Kanyon
I220760,C104061,Toys,4,143.36,20-03-2021,Kanyon
I839759,C104063,Clothing,3,900.24,06-08-2021,Kanyon
I824198,C104069,Cosmetics,4,162.64,28-08-2021,Mall of Istanbul
I230471,C104072,Clothing,1,300.08,03-06-2022,Metrocity
I321406,C104074,Clothing,1,300.08,26-04-2021,Metrocity
I334879,C104078,Shoes,1,600.17,12-10-2021,Kanyon
I171727,C104081,Clothing,5,1500.4,01-09-2022,Mall of Istanbul
I663311,C104082,Clothing,1,300.08,23-02-2021,Metrocity
I187754,C104086,Books,5,75.75,21-02-2023,Mall of Istanbul
I236430,C104088,Clothing,1,300.08,04-11-2021,Mall of Istanbul
I129216,C104091,Clothing,4,1200.32,15-03-2022,Kanyon
I206344,C104092,Food & Beverage,2,10.46,15-04-2021,Kanyon
I178565,C104093,Food & Beverage,4,20.92,07-06-2021,Kanyon
I320740,C104097,Toys,3,107.52,11-10-2021,Metropol AVM
I127641,C104101,Food & Beverage,1,5.23,12-02-2021,Mall of Istanbul
I103142,C104103,Toys,3,107.52,02-04-2021,Emaar Square Mall
I245787,C104111,Clothing,5,1500.4,03-05-2021,Emaar Square Mall
I184848,C104112,Cosmetics,1,40.66,24-10-2022,Mall of Istanbul
I331553,C104114,Shoes,3,1800.51,09-04-2021,Mall of Istanbul
I329096,C104116,Food & Beverage,1,5.23,19-05-2022,Metropol AVM
I217866,C104117,Souvenir,3,35.19,11-01-2021,Kanyon
I373330,C104118,Clothing,4,1200.32,04-10-2022,Mall of Istanbul
I948806,C104119,Cosmetics,5,203.3,24-01-2023,Mall of Istanbul
I255644,C104123,Cosmetics,2,81.32,19-01-2023,Emaar Square Mall
I187333,C104128,Clothing,2,600.16,28-04-2022,Cevahir AVM
I101414,C104129,Clothing,4,1200.32,12-08-2021,Metrocity
I312654,C104131,Shoes,2,1200.34,20-01-2022,Istinye Park
I263320,C104136,Clothing,3,900.24,27-09-2022,Kanyon
I283219,C104137,Clothing,4,1200.32,14-06-2021,Mall of Istanbul
I192280,C104139,Cosmetics,5,203.3,01-12-2021,Istinye Park
I209019,C104142,Books,3,45.45,14-10-2022,Forum Istanbul
I317786,C104143,Shoes,5,3000.85,15-04-2022,Kanyon
I234242,C104144,Food & Beverage,3,15.69,09-02-2022,Viaport Outlet
I630220,C104147,Clothing,2,600.16,23-07-2021,Emaar Square Mall
I279627,C104153,Food & Beverage,1,5.23,06-02-2022,Istinye Park
I173692,C104163,Cosmetics,5,203.3,20-05-2021,Istinye Park
I299072,C104164,Toys,3,107.52,19-05-2022,Cevahir AVM
I118708,C104165,Clothing,1,300.08,24-04-2021,Kanyon
I357959,C104169,Clothing,1,300.08,21-06-2022,Viaport Outlet
I117028,C104172,Clothing,5,1500.4,22-04-2021,Mall of Istanbul
I135531,C104174,Technology,4,4200,05-04-2021,Forum Istanbul
I281512,C104180,Toys,5,179.2,28-06-2022,Cevahir AVM
I255174,C104184,Cosmetics,3,121.98,18-09-2022,Kanyon
I297827,C104187,Cosmetics,5,203.3,18-08-2022,Mall of Istanbul
I281384,C104190,Cosmetics,5,203.3,08-03-2021,Zorlu Center
I222699,C104194,Books,5,75.75,21-12-2021,Metrocity
I101620,C104200,Clothing,4,1200.32,12-08-2021,Kanyon
I140606,C104204,Food & Beverage,4,20.92,10-04-2022,Cevahir AVM
I117154,C104209,Clothing,3,900.24,08-03-2022,Mall of Istanbul
I179676,C104211,Shoes,3,1800.51,09-08-2021,Zorlu Center
I821383,C104212,Technology,1,1050,11-11-2022,Kanyon
I258343,C104213,Clothing,5,1500.4,20-09-2022,Metropol AVM
I247830,C104224,Shoes,1,600.17,20-02-2021,Metropol AVM
I302594,C104226,Toys,4,143.36,12-11-2021,Mall of Istanbul
I117339,C104228,Shoes,5,3000.85,23-09-2022,Mall of Istanbul
I106806,C104230,Food & Beverage,1,5.23,31-07-2022,Metropol AVM
I153259,C104236,Cosmetics,1,40.66,20-12-2022,Kanyon
I690294,C104237,Food & Beverage,5,26.15,21-04-2021,Istinye Park
I260131,C104239,Cosmetics,4,162.64,22-08-2022,Mall of Istanbul
I116378,C104241,Cosmetics,5,203.3,17-03-2022,Metropol AVM
I642468,C104245,Toys,1,35.84,25-09-2022,Kanyon
I373913,C104247,Clothing,5,1500.4,16-02-2021,Kanyon
I139684,C104250,Shoes,2,1200.34,28-09-2021,Istinye Park
I787977,C104254,Clothing,2,600.16,30-03-2021,Kanyon
I677673,C104255,Food & Beverage,1,5.23,19-04-2021,Metrocity
I167187,C104257,Shoes,1,600.17,30-08-2022,Istinye Park
I247178,C104263,Toys,3,107.52,12-02-2022,Forum Istanbul
I802113,C104264,Toys,3,107.52,25-02-2022,Metrocity
I360802,C104268,Clothing,1,300.08,04-03-2023,Metropol AVM
I121816,C104271,Technology,1,1050,04-11-2022,Metrocity
I161592,C104274,Food & Beverage,1,5.23,19-08-2022,Kanyon
I333429,C104279,Food & Beverage,3,15.69,26-05-2021,Kanyon
I244830,C104280,Toys,4,143.36,18-05-2021,Mall of Istanbul
I245832,C104285,Toys,5,179.2,05-02-2021,Zorlu Center
I489564,C104286,Food & Beverage,4,20.92,10-03-2021,Mall of Istanbul
I140768,C104294,Clothing,2,600.16,06-09-2021,Mall of Istanbul
I192198,C104296,Clothing,2,600.16,24-12-2022,Metrocity
I494874,C104300,Clothing,3,900.24,07-03-2021,Viaport Outlet
I464311,C104305,Toys,1,35.84,17-01-2021,Kanyon
I738957,C104306,Shoes,3,1800.51,26-05-2022,Metrocity
I354185,C104311,Food & Beverage,5,26.15,25-12-2021,Kanyon
I282138,C104314,Cosmetics,3,121.98,10-12-2022,Kanyon
I308137,C104317,Clothing,4,1200.32,07-02-2023,Kanyon
I330419,C104318,Souvenir,3,35.19,05-08-2022,Viaport Outlet
I180156,C104319,Cosmetics,2,81.32,10-09-2021,Mall of Istanbul
I740215,C104320,Souvenir,3,35.19,24-06-2021,Zorlu Center
I213692,C104323,Clothing,5,1500.4,13-02-2021,Metrocity
I237939,C104325,Clothing,5,1500.4,04-02-2021,Mall of Istanbul
I902298,C104329,Toys,3,107.52,27-06-2022,Istinye Park
I122096,C104331,Clothing,3,900.24,13-08-2021,Mall of Istanbul
I162593,C104337,Cosmetics,4,162.64,23-04-2021,Mall of Istanbul
I188635,C104339,Souvenir,2,23.46,10-08-2021,Mall of Istanbul
I471848,C104344,Cosmetics,1,40.66,21-08-2022,Kanyon
I261138,C104347,Clothing,3,900.24,21-08-2021,Mall of Istanbul
I425370,C104349,Food & Beverage,1,5.23,01-05-2022,Metrocity
I158003,C104350,Clothing,2,600.16,20-02-2021,Metrocity
I266216,C104352,Toys,4,143.36,28-02-2022,Cevahir AVM
I157486,C104355,Clothing,5,1500.4,23-08-2021,Istinye Park
I157031,C104356,Cosmetics,1,40.66,16-08-2022,Viaport Outlet
I153837,C104357,Toys,3,107.52,18-09-2022,Mall of Istanbul
I103722,C104363,Souvenir,5,58.65,09-02-2023,Mall of Istanbul
I253622,C104366,Clothing,4,1200.32,27-02-2021,Metropol AVM
I701715,C104367,Cosmetics,1,40.66,01-07-2022,Zorlu Center
I843092,C104370,Cosmetics,3,121.98,19-01-2021,Kanyon
I339186,C104371,Toys,5,179.2,12-08-2021,Kanyon
I237970,C104373,Cosmetics,1,40.66,05-02-2022,Forum Istanbul
I132865,C104374,Food & Beverage,5,26.15,27-07-2021,Mall of Istanbul
I233237,C104380,Shoes,1,600.17,24-11-2022,Metropol AVM
I268642,C104381,Clothing,3,900.24,10-07-2022,Metrocity
I103428,C104382,Clothing,3,900.24,05-02-2021,Forum Istanbul
I234069,C104391,Cosmetics,5,203.3,04-04-2021,Viaport Outlet
I102487,C104393,Clothing,1,300.08,03-02-2021,Kanyon
I138911,C104400,Cosmetics,2,81.32,07-06-2021,Kanyon
I141046,C104402,Technology,5,5250,25-04-2021,Kanyon
I214307,C104404,Shoes,2,1200.34,17-01-2023,Metropol AVM
I339344,C104407,Technology,2,2100,07-02-2023,Kanyon
I177225,C104409,Clothing,4,1200.32,24-09-2022,Mall of Istanbul
I188795,C104416,Toys,2,71.68,16-07-2022,Metrocity
I215974,C104418,Food & Beverage,5,26.15,03-12-2022,Metrocity
I309701,C104421,Clothing,4,1200.32,15-08-2022,Mall of Istanbul
I741062,C104423,Clothing,5,1500.4,24-05-2022,Metrocity
I200122,C104426,Clothing,3,900.24,10-04-2021,Metropol AVM
I290793,C104427,Food & Beverage,1,5.23,20-04-2021,Metrocity
I663930,C104429,Shoes,4,2400.68,15-05-2022,Metrocity
I220421,C104431,Clothing,3,900.24,03-04-2021,Kanyon
I174437,C104433,Souvenir,4,46.92,01-02-2023,Zorlu Center
I263671,C104436,Cosmetics,4,162.64,10-01-2022,Mall of Istanbul
I158153,C104437,Clothing,2,600.16,11-07-2021,Kanyon
I879456,C104439,Clothing,4,1200.32,31-10-2022,Kanyon
I183725,C104444,Food & Beverage,1,5.23,26-04-2022,Kanyon
I227176,C104453,Shoes,5,3000.85,03-04-2022,Cevahir AVM
I266334,C104459,Clothing,5,1500.4,30-07-2021,Kanyon
I205664,C104460,Cosmetics,2,81.32,18-07-2022,Mall of Istanbul
I449662,C104462,Shoes,2,1200.34,24-07-2022,Cevahir AVM
I309916,C104465,Toys,2,71.68,22-12-2022,Metropol AVM
I605519,C104466,Cosmetics,3,121.98,09-06-2021,Zorlu Center
I295530,C104473,Toys,5,179.2,01-09-2022,Cevahir AVM
I364925,C104478,Clothing,4,1200.32,12-05-2021,Kanyon
I226890,C104483,Shoes,2,1200.34,13-08-2021,Mall of Istanbul
I182601,C104484,Clothing,5,1500.4,08-07-2022,Metrocity
I290907,C104488,Clothing,5,1500.4,09-10-2021,Metropol AVM
I114077,C104492,Cosmetics,2,81.32,11-07-2021,Metropol AVM
I322721,C104495,Clothing,1,300.08,11-05-2022,Metropol AVM
I223370,C104496,Technology,1,1050,15-06-2022,Zorlu Center
I264458,C104498,Souvenir,3,35.19,17-03-2022,Mall of Istanbul
I330119,C104500,Souvenir,5,58.65,15-06-2022,Kanyon
I115329,C104509,Souvenir,1,11.73,05-07-2021,Kanyon
I826254,C104510,Food & Beverage,1,5.23,20-02-2022,Mall of Istanbul
I169904,C104512,Clothing,3,900.24,25-04-2021,Mall of Istanbul
I237028,C104514,Clothing,3,900.24,10-03-2021,Viaport Outlet
I267640,C104519,Shoes,1,600.17,29-09-2021,Forum Istanbul
I132573,C104520,Toys,5,179.2,24-05-2022,Kanyon
I234679,C104526,Souvenir,5,58.65,24-04-2022,Istinye Park
I143639,C104528,Souvenir,4,46.92,05-12-2021,Metrocity
I344455,C104532,Food & Beverage,3,15.69,01-07-2022,Viaport Outlet
I185330,C104537,Clothing,3,900.24,21-07-2021,Metropol AVM
I759445,C104538,Clothing,2,600.16,06-12-2021,Zorlu Center
I174841,C104539,Toys,2,71.68,22-02-2022,Istinye Park
I613076,C104542,Toys,4,143.36,14-04-2022,Kanyon
I178997,C104543,Clothing,3,900.24,25-03-2021,Mall of Istanbul
I209432,C104556,Clothing,5,1500.4,03-07-2021,Kanyon
I316032,C104560,Technology,3,3150,14-03-2021,Kanyon
I187332,C104567,Clothing,3,900.24,15-04-2021,Mall of Istanbul
I274572,C104568,Technology,3,3150,19-02-2022,Mall of Istanbul
I303428,C104570,Food & Beverage,3,15.69,30-03-2022,Kanyon
I132882,C104573,Cosmetics,4,162.64,01-07-2021,Emaar Square Mall
I316901,C104576,Food & Beverage,4,20.92,14-08-2022,Zorlu Center
I322540,C104577,Souvenir,4,46.92,09-02-2021,Metrocity
I595003,C104578,Clothing,2,600.16,03-03-2023,Metrocity
I157119,C104579,Clothing,5,1500.4,07-04-2022,Kanyon
I137121,C104584,Toys,3,107.52,01-05-2022,Metrocity
I317137,C104592,Shoes,1,600.17,02-01-2023,Zorlu Center
I100308,C104593,Food & Beverage,1,5.23,11-07-2022,Mall of Istanbul
I322489,C104596,Clothing,4,1200.32,10-02-2022,Metrocity
I172198,C104600,Shoes,5,3000.85,22-09-2021,Istinye Park
I455407,C104601,Clothing,3,900.24,01-02-2022,Kanyon
I208874,C104604,Clothing,1,300.08,29-06-2021,Metrocity
I192884,C104605,Cosmetics,4,162.64,25-09-2022,Mall of Istanbul
I319481,C104609,Food & Beverage,4,20.92,17-07-2021,Cevahir AVM
I646786,C104612,Clothing,4,1200.32,09-06-2022,Cevahir AVM
I974519,C104615,Cosmetics,5,203.3,28-05-2022,Kanyon
I309054,C104616,Toys,2,71.68,09-01-2023,Cevahir AVM
I231581,C104617,Cosmetics,5,203.3,31-05-2021,Istinye Park
I306091,C104620,Clothing,5,1500.4,30-01-2021,Kanyon
I110901,C104626,Shoes,2,1200.34,03-09-2021,Forum Istanbul
I611091,C104627,Food & Beverage,4,20.92,05-05-2022,Mall of Istanbul
I969902,C104633,Souvenir,4,46.92,16-11-2021,Mall of Istanbul
I240831,C104634,Technology,1,1050,23-07-2021,Metrocity
I285161,C104637,Souvenir,5,58.65,17-12-2021,Mall of Istanbul
I243686,C104641,Clothing,2,600.16,26-01-2022,Zorlu Center
I113420,C104644,Shoes,5,3000.85,11-10-2022,Mall of Istanbul
I294350,C104646,Food & Beverage,5,26.15,14-07-2021,Istinye Park
I244697,C104654,Clothing,4,1200.32,13-08-2022,Istinye Park
I170836,C104655,Toys,3,107.52,30-12-2021,Metrocity
I125085,C104658,Clothing,2,600.16,30-08-2022,Zorlu Center
I279255,C104659,Shoes,3,1800.51,04-09-2022,Metrocity
I220207,C104660,Clothing,4,1200.32,24-04-2022,Viaport Outlet
I283671,C104665,Cosmetics,1,40.66,30-11-2022,Metrocity
I289409,C104669,Souvenir,2,23.46,11-09-2021,Metropol AVM
I331544,C104670,Clothing,3,900.24,03-09-2022,Cevahir AVM
I224085,C104673,Technology,4,4200,08-08-2022,Mall of Istanbul
I307545,C104686,Food & Beverage,1,5.23,18-08-2022,Metrocity
I219488,C104687,Cosmetics,2,81.32,25-01-2023,Kanyon
I827482,C104688,Food & Beverage,3,15.69,21-06-2022,Metrocity
I317579,C104689,Books,4,60.6,06-03-2022,Kanyon
I244481,C104690,Clothing,3,900.24,12-03-2022,Kanyon
I455042,C104696,Food & Beverage,2,10.46,03-03-2021,Zorlu Center
I244634,C104698,Food & Beverage,3,15.69,09-06-2022,Metropol AVM
I240857,C104702,Clothing,1,300.08,23-02-2022,Metrocity
I162302,C104706,Clothing,5,1500.4,13-02-2021,Metropol AVM
I162410,C104708,Clothing,4,1200.32,28-09-2022,Forum Istanbul
I118642,C104712,Clothing,4,1200.32,11-06-2022,Kanyon
I117571,C104715,Clothing,5,1500.4,30-05-2021,Metrocity
I163157,C104718,Souvenir,3,35.19,20-02-2021,Metropol AVM
I192709,C104719,Food & Beverage,3,15.69,18-01-2022,Mall of Istanbul
I151221,C104720,Clothing,1,300.08,31-10-2022,Metrocity
I305894,C104725,Cosmetics,2,81.32,20-01-2023,Metrocity
I757754,C104728,Clothing,5,1500.4,16-06-2021,Metrocity
I315468,C104730,Souvenir,2,23.46,01-12-2022,Mall of Istanbul
I664218,C104734,Books,3,45.45,13-10-2022,Mall of Istanbul
I951199,C104738,Food & Beverage,1,5.23,06-01-2022,Kanyon
I213393,C104739,Cosmetics,4,162.64,01-09-2021,Mall of Istanbul
I290953,C104740,Technology,4,4200,03-03-2022,Mall of Istanbul
I227105,C104744,Toys,3,107.52,09-02-2021,Kanyon
I223229,C104749,Shoes,4,2400.68,17-09-2022,Mall of Istanbul
I123389,C104755,Books,2,30.3,24-08-2022,Metropol AVM
I143053,C104758,Toys,5,179.2,07-01-2021,Kanyon
I269739,C104760,Clothing,1,300.08,06-01-2022,Kanyon
I170811,C104764,Clothing,2,600.16,17-06-2021,Zorlu Center
I535574,C104767,Cosmetics,4,162.64,23-07-2021,Metrocity
I144132,C104771,Shoes,2,1200.34,16-06-2021,Istinye Park
I194341,C104772,Toys,4,143.36,25-06-2022,Emaar Square Mall
I116015,C104775,Clothing,5,1500.4,23-10-2022,Kanyon
I109730,C104778,Clothing,3,900.24,02-07-2022,Metropol AVM
I142121,C104785,Shoes,4,2400.68,06-03-2022,Kanyon
I272742,C104787,Clothing,2,600.16,05-12-2021,Zorlu Center
I194749,C104794,Clothing,3,900.24,24-02-2021,Mall of Istanbul
I229145,C104795,Souvenir,3,35.19,18-06-2021,Kanyon
I140939,C104796,Cosmetics,1,40.66,10-03-2021,Istinye Park
I326376,C104799,Books,3,45.45,18-02-2023,Mall of Istanbul
I299894,C104800,Cosmetics,5,203.3,27-06-2021,Zorlu Center
I884829,C104804,Clothing,2,600.16,03-03-2021,Istinye Park
I191994,C104807,Food & Beverage,2,10.46,27-03-2021,Mall of Istanbul
I670807,C104808,Cosmetics,5,203.3,21-10-2022,Kanyon
I323692,C104815,Toys,4,143.36,13-11-2021,Mall of Istanbul
I264535,C104816,Clothing,5,1500.4,11-10-2022,Kanyon
I118535,C104818,Clothing,5,1500.4,01-07-2021,Kanyon
I159318,C104821,Clothing,5,1500.4,11-11-2021,Mall of Istanbul
I164127,C104824,Cosmetics,2,81.32,07-05-2022,Mall of Istanbul
I198772,C104831,Cosmetics,1,40.66,05-12-2021,Kanyon
I255409,C104837,Shoes,5,3000.85,12-10-2022,Emaar Square Mall
I169408,C104845,Toys,5,179.2,24-03-2022,Istinye Park
I213136,C104847,Toys,1,35.84,28-08-2022,Kanyon
I227150,C104848,Books,2,30.3,10-09-2022,Metropol AVM
I159630,C104852,Cosmetics,5,203.3,07-03-2023,Metrocity
I368004,C104854,Technology,5,5250,21-02-2022,Istinye Park
I769634,C104860,Toys,4,143.36,31-08-2021,Mall of Istanbul
I144505,C104868,Clothing,4,1200.32,28-04-2021,Kanyon
I209193,C104877,Technology,2,2100,15-01-2023,Mall of Istanbul
I587041,C104881,Clothing,5,1500.4,24-03-2022,Metrocity
I674908,C104884,Toys,5,179.2,07-12-2021,Istinye Park
I272118,C104886,Cosmetics,5,203.3,18-08-2022,Kanyon
I189862,C104891,Souvenir,3,35.19,17-07-2021,Viaport Outlet
I703361,C104897,Toys,5,179.2,02-01-2021,Istinye Park
I186884,C104899,Shoes,2,1200.34,30-10-2021,Metrocity
I296471,C104902,Technology,1,1050,21-04-2022,Metrocity
I485435,C104903,Toys,5,179.2,06-11-2022,Mall of Istanbul
I183503,C104905,Food & Beverage,1,5.23,03-03-2023,Emaar Square Mall
I259353,C104908,Food & Beverage,2,10.46,25-03-2021,Mall of Istanbul
I238628,C104909,Shoes,4,2400.68,21-12-2022,Istinye Park
I227995,C104915,Cosmetics,3,121.98,25-03-2022,Mall of Istanbul
I296198,C104923,Food & Beverage,4,20.92,23-11-2021,Mall of Istanbul
I650728,C104925,Shoes,2,1200.34,04-04-2021,Viaport Outlet
I283136,C104927,Clothing,1,300.08,16-01-2021,Metropol AVM
I333956,C104933,Clothing,1,300.08,09-01-2022,Mall of Istanbul
I316228,C104942,Shoes,2,1200.34,17-02-2023,Metrocity
I329877,C104949,Clothing,4,1200.32,28-01-2023,Mall of Istanbul
I225137,C104950,Shoes,3,1800.51,25-09-2021,Metrocity
I191689,C104956,Shoes,2,1200.34,19-01-2022,Emaar Square Mall
I310070,C104957,Clothing,1,300.08,01-11-2021,Metropol AVM
I235118,C104958,Books,3,45.45,07-09-2021,Mall of Istanbul
I299857,C104959,Food & Beverage,5,26.15,28-11-2021,Kanyon
I298857,C104961,Shoes,2,1200.34,06-06-2021,Emaar Square Mall
I261248,C104963,Souvenir,1,11.73,26-02-2021,Zorlu Center
I321825,C104964,Clothing,2,600.16,12-11-2022,Cevahir AVM
I752126,C104974,Clothing,5,1500.4,23-06-2021,Metropol AVM
I167428,C104976,Clothing,5,1500.4,12-10-2022,Mall of Istanbul
I161978,C104980,Food & Beverage,3,15.69,06-06-2021,Metropol AVM
I122958,C104984,Clothing,2,600.16,18-02-2022,Forum Istanbul
I159487,C104985,Clothing,1,300.08,09-07-2021,Emaar Square Mall
I227548,C104986,Food & Beverage,2,10.46,17-06-2021,Forum Istanbul
I198129,C104988,Shoes,3,1800.51,26-02-2021,Mall of Istanbul
I248467,C104989,Clothing,4,1200.32,05-10-2022,Metropol AVM
I295125,C104990,Technology,2,2100,29-09-2022,Zorlu Center
I295928,C104993,Clothing,2,600.16,19-02-2022,Emaar Square Mall
I331806,C104994,Cosmetics,3,121.98,14-06-2022,Kanyon
I264709,C104997,Food & Beverage,5,26.15,11-03-2022,Kanyon
I147521,C105002,Cosmetics,5,203.3,20-10-2022,Metrocity
I266468,C105006,Clothing,4,1200.32,04-05-2022,Kanyon
I222016,C105012,Clothing,3,900.24,20-09-2021,Viaport Outlet
I874296,C105013,Clothing,5,1500.4,19-12-2022,Mall of Istanbul
I159076,C105015,Cosmetics,5,203.3,09-01-2022,Metropol AVM
I153332,C105019,Clothing,3,900.24,01-05-2022,Metropol AVM
I606095,C105021,Clothing,3,900.24,09-05-2021,Zorlu Center
I102944,C105025,Cosmetics,2,81.32,03-12-2021,Forum Istanbul
I262267,C105026,Cosmetics,5,203.3,19-03-2022,Mall of Istanbul
I109687,C105027,Shoes,4,2400.68,29-03-2021,Mall of Istanbul
I335090,C105029,Cosmetics,1,40.66,16-01-2021,Kanyon
I262690,C105030,Technology,1,1050,14-09-2021,Kanyon
I113522,C105034,Technology,2,2100,18-07-2022,Metropol AVM
I312047,C105039,Shoes,2,1200.34,17-02-2023,Istinye Park
I104261,C105041,Shoes,5,3000.85,10-04-2021,Kanyon
I135374,C105043,Cosmetics,1,40.66,21-11-2021,Kanyon
I836609,C105048,Cosmetics,2,81.32,25-06-2021,Metrocity
I231123,C105051,Clothing,5,1500.4,21-11-2022,Kanyon
I846907,C105060,Clothing,5,1500.4,16-10-2022,Istinye Park
I209925,C105068,Clothing,4,1200.32,16-05-2022,Kanyon
I182766,C105069,Souvenir,5,58.65,27-04-2021,Cevahir AVM
I109872,C105070,Clothing,2,600.16,20-05-2022,Metropol AVM
I168695,C105077,Clothing,2,600.16,05-12-2022,Metrocity
I741210,C105085,Cosmetics,3,121.98,11-03-2022,Kanyon
I281709,C105086,Food & Beverage,4,20.92,28-07-2021,Metrocity
I107404,C105089,Cosmetics,1,40.66,24-07-2022,Kanyon
I898026,C105090,Souvenir,1,11.73,30-07-2021,Kanyon
I977985,C105094,Books,1,15.15,20-02-2021,Kanyon
I244144,C105101,Clothing,5,1500.4,10-01-2023,Metrocity
I475363,C105104,Clothing,4,1200.32,17-11-2022,Emaar Square Mall
I239420,C105106,Clothing,5,1500.4,24-01-2022,Mall of Istanbul
I312893,C105107,Clothing,3,900.24,03-08-2022,Zorlu Center
I442232,C105110,Shoes,1,600.17,02-12-2022,Istinye Park
I287378,C105111,Toys,2,71.68,05-05-2022,Metrocity
I904538,C105116,Cosmetics,1,40.66,01-11-2022,Mall of Istanbul
I143788,C105118,Souvenir,3,35.19,26-09-2021,Kanyon
I146856,C105122,Clothing,1,300.08,30-12-2022,Mall of Istanbul
I142207,C105126,Souvenir,4,46.92,10-08-2021,Emaar Square Mall
I324782,C105127,Food & Beverage,1,5.23,24-11-2022,Istinye Park
I313164,C105128,Clothing,1,300.08,06-02-2021,Kanyon
